,train,eval
0,0.4291375793516636,0.3173549510538578
1,0.33501872718334197,0.31586557626724243
2,0.32644230164587495,0.3960694521665573
3,0.33203986957669257,0.3929305151104927
4,0.32311416417360306,0.32570357620716095
5,0.3148501630872488,0.2932441234588623
6,0.3201386217027903,0.29420386254787445
7,0.3156240928918123,0.30340929329395294
8,0.31066842935979366,0.3907427415251732
9,0.3206172242760658,0.3374585211277008
10,0.313857264444232,0.2950211875140667
11,0.30424626714084296,0.2855757921934128
12,0.2991605527698994,0.2961949184536934
13,0.3183128505945206,0.31521231681108475
14,0.31147872358560563,0.29569318890571594
15,0.3204045671969652,0.31277893483638763
16,0.30633190385997294,0.2815024368464947
17,0.3093842539936304,0.33840860426425934
18,0.30564082935452463,0.33317115157842636
19,0.30421344228088854,0.33053043484687805
20,0.2930266212671995,0.32893069088459015
21,0.29477621484547856,0.2961776591837406
22,0.2910044763237238,0.2884128578007221
23,0.294435827806592,0.30582816898822784
24,0.29340438432991506,0.2894279696047306
25,0.3057813040912151,0.30307744443416595
26,0.28648996390402315,0.28313230723142624
27,0.2948674239218235,0.2904736064374447
28,0.2964073807001114,0.28302227705717087
29,0.30153472162783146,0.28612926974892616
30,0.2947620805352926,0.2909497134387493
31,0.28097835605731236,0.28166602924466133
32,0.2860960479825735,0.2805270217359066
33,0.27971669360995294,0.2894735224545002
34,0.2860702946782112,0.2867909260094166
35,0.2904148861765862,0.32739943638443947
36,0.29013342037796974,0.302107859402895
37,0.2865322262048721,0.2797146327793598
38,0.29070842154324056,0.29283076152205467
39,0.2919309452176094,0.29746442660689354
40,0.28660282157361505,0.3125885911285877
41,0.2874397050589323,0.30916421860456467
42,0.28331385999917985,0.31162983924150467
43,0.2897187676280737,0.28597258776426315
44,0.2871320616453886,0.3222605735063553
45,0.3067311838269234,0.3012225180864334
46,0.29536138065159323,0.31073231622576714
47,0.28529249466955664,0.32899855077266693
48,0.29019872657954693,0.27817896753549576
49,0.2842434883117676,0.3044978305697441
50,0.2761339023709297,0.3001735806465149
51,0.2798662528395653,0.3072018101811409
52,0.27915132492780687,0.2880737781524658
53,0.2844966255128384,0.28678087890148163
54,0.2926837965846062,0.3300889953970909
55,0.27073861509561536,0.30881401151418686
56,0.28729094229638574,0.3704129755496979
57,0.2832284774631262,0.2894105687737465
58,0.27451009564101697,0.3059534355998039
59,0.29086453691124914,0.28718147054314613
60,0.2722362637519836,0.31505871564149857
61,0.2745257321745157,0.2939637266099453
62,0.2668605372309685,0.3396027684211731
63,0.2862044434994459,0.29382386058568954
64,0.2785991493612528,0.28998325765132904
65,0.28283465951681136,0.3466713912785053
66,0.273843514546752,0.32125571370124817
67,0.284333411231637,0.317576639354229
68,0.28325475454330445,0.2954868897795677
69,0.2669339008629322,0.29930200427770615
